Company,Rating,Reviews,Service_Type,Headquarters
B. G. Shirke Construction Technology,4.1,753,Engineering & Construction,Pune
bp,3.7,754,Oil & Gas,Pune
Genus Power Infrastructures,3.9,753,Electronics Manufacturing,Jaipur
ASG Eye Hospital,3.5,752,Healthcare,Jaipur
AI Airport Services,3.2,752,Aviation,Mumbai
1 India Family Mart,4.6,751,Retail,New Delhi
Redcliffe Labs,3.9,751,Healthcare,Noida
V-Trans,3.8,751,Logistics,Mumbai
Mswipe Technologies,3.2,750,FinTech,Mumbai
Sterlite Power,4.1,750,Power,New Delhi
Mitsubishi Electric India,4.2,752,Electronics Manufacturing,Pune
Delta Electronics,3.8,750,Electronics Manufacturing,Bengaluru
Turtlemint,3.7,748,Internet,Mumbai
Sun Life Financial,3.8,748,Financial Services,Gurugram
Galfar,3.9,748,Engineering & Construction,Muscat
Tredence,3.3,750,IT Services & Consulting,Bengaluru
BDO INDIA SERVICES PRIVATE LIMITED,3.1,750,Accounting & Auditing,Mumbai
Razorpay,3.4,748,FinTech,Bengaluru
Koch Business Solutions,3.1,747,IT Services & Consulting,Bengaluru
The Akshaya Patra Foundation,4.4,746,Non-Profit,Bengaluru
Ag Industries,4.0,745,Auto Components,Gurugram
SLK Global Services,4.0,744,BPO,Bengaluru
OLX India,3.8,745,Internet,Gurugram
McKinsey & Company,3.8,743,Management Consulting,Gurugram
GirnarSoft,3.6,743,IT Services & Consulting,Gurugram
Home First Finance Company India,3.5,742,NBFC,Mumbai
Evision Technoserve,4.8,740,IT Services & Consulting,Pune
BDO RISE Private Limited,3.6,741,Accounting & Auditing,Bengaluru
URC Construction,3.6,739,Engineering & Construction,Chennai
Kissht Finance,3.9,738,FinTech,Mumbai
TDK India Private Limited,3.9,737,Semiconductors,Nashik
Nvidia,3.5,736,Hardware & Networking,Pune
Indusind Marketing & Financial Services,3.7,736,Financial Services,Chennai
Tavant Technologies,3.8,735,IT Services & Consulting,Bengaluru
Adidas,3.9,737,Fashion & Textile,Gurugram
Molex,3.8,735,Electronics Manufacturing,Bengaluru
Rentokil Pest Control,3.5,733,Facility Management Services,Mumbai
Expleo Solutions,3.5,732,IT Services & Consulting,Chennai
Bristlecone,3.6,733,IT Services & Consulting,Bengaluru
Bikanervala,3.9,732,FMCG,New Delhi
Medreich,3.9,731,Pharma,Bengaluru
Bahwan CyberTek,3.3,730,IT Services & Consulting,Chennai
Central Bank of India,4.0,728,Banking,Mumbai
Jubilant Ingrevia,3.8,729,Chemicals,Bharuch
DuPont,4.2,727,Waste Management,Hyderabad
Vertex Customer Solutions,3.7,727,IT Services & Consulting,Chennai
Infor Global Solution,3.9,727,Software Product,Hyderabad
Zaalima Development,4.3,727,IT Services & Consulting,Bengaluru
Visteon,3.1,727,Auto Components,Chennai
Lohia Corp,4.1,729,Industrial Machinery,Kanpur
Biba Apparels,3.5,726,Fashion & Textile,New Delhi
Thriveni Earthmovers,3.9,727,Metals & Mining,Jamshedpur
Goodyear,3.5,727,Auto Components,Chhatrapati Sambhajinagar
PrimEra Medical Technologies,3.5,726,IT Services & Consulting,Hyderabad
Cotiviti,3.5,725,Analytics & KPO,Hyderabad
Lavender Technology,4.9,724,IT Services & Consulting,Bengaluru
BSH Home Appliances Group,3.8,724,Consumer Electronics & Appliances,Bengaluru
NecLife,3.5,722,Pharma,Chandigarh
Apple,4.3,723,Consumer Electronics & Appliances,Bengaluru
Gartner,3.8,722,Management Consulting,Gurugram
Vindhya Telelinks,4.0,722,Engineering & Construction,Lucknow
Amrit Cement,3.9,722,Building Material,Guwahati
Diebold Nixdorf,3.6,719,Software Product,Hyderabad
Revolut,2.5,719,FinTech,Bengaluru
Dodla Dairy,4.2,718,Food Processing,Hyderabad
CtrlS,3.6,718,IT Services & Consulting,Hyderabad
TTK Prestige,3.8,720,Consumer Electronics & Appliances,Bengaluru
Lovely Professional University,3.3,718,Education & Training,Jalandhar
TransUnion,3.6,718,Financial Services,Chennai
Wolters Kluwer,3.8,718,Software Product,Pune
ffreedom app,3.4,717,Internet,Bengaluru
Ramky Infrastructure,4.2,717,Engineering & Construction,Hyderabad
Ness Digital Engineering,3.2,717,IT Services & Consulting,Bengaluru
Wow Momo Foods,4.1,717,Hospitality,Kolkata
Progressive Infovision,3.9,717,Recruitment,New Delhi
Moglix,3.3,718,Internet,Noida
YOKOGAWA,3.8,718,Industrial Automation,Bengaluru
Raychem RPG,3.7,717,Electrical Equipment,Mumbai
Asb International,3.7,715,Industrial Machinery,Mumbai
Patel Engineering,4.1,714,Engineering & Construction,Mumbai
Technotask Business Solutions,3.4,713,BPO,Bhopal
uFaber,2.3,713,Education & Training,Mumbai
IHG,3.6,713,Hospitality,New Delhi
Magic Bus India Foundation,3.9,713,Non-Profit,Mumbai
Vizag Steel,3.9,713,Iron & Steel,Visakhapatnam
Nomura Holdings,3.6,713,Investment Banking / Venture Capital / Private Equity,Mumbai
Radico Khaitan,4.0,712,Beverage,Rampur
NephroPlus,3.9,712,Healthcare,Hyderabad
Elite Elevators,4.2,712,Industrial Machinery,Chennai
Wuerth,3.5,711,Industrial Machinery,Pune
Joyalukkas,4.6,712,Retail,Bengaluru
Bisk Farm,4.0,712,Food Processing,Kolkata
Mynd Solutions Private,3.7,710,BPO,Gurugram
Bharat Serums and Vaccines,3.9,709,Pharma,Mumbai
Blue Yonder,3.5,709,Software Product,Bengaluru
PPG Asian Paints,3.8,709,Chemicals,Mumbai
XcelServ Solutions,4.4,708,IT Services & Consulting,New Delhi
SG Analytics,2.5,709,Analytics & KPO,Pune
HRH Next Services,3.0,709,BPO,Hyderabad
Kaar Tech,4.3,707,IT Services & Consulting,Chennai
Capco Technologies,3.8,707,IT Services & Consulting,Bengaluru
Autoliv,3.9,706,Auto Components,Bengaluru
LEAP India Limited,4.6,706,Packaging,Mumbai
Magic EdTech,3.6,706,EdTech,Noida
Csc E Governance Services,3.7,705,Government,New Delhi
Transsion,3.9,705,Consumer Electronics & Appliances,Noida
InternEzy,4.9,704,EdTech,Chennai
Emami Agrotech,3.9,704,Food Processing,Kolkata
Tejas Networks,3.8,705,Hardware & Networking,Bengaluru
Bridgestone - Global Capability Center,4.0,703,Auto Components,Pune
Mahindra Integrated Business Solutions,3.3,703,BPO,Mumbai
TCNS Clothing Company,4.2,702,Fashion & Textile,New Delhi
Rane NSK Steering Systems,3.9,701,Auto Components,Chennai
Keventer,3.7,701,FMCG,Kolkata
NSB Bpo Solutions,2.8,701,BPO,Noida
BASF,4.2,700,Chemicals,Mumbai
Flash Electronics,3.5,700,Electronics Manufacturing,Pune
TVS Electronics,3.6,700,Electronics Manufacturing,Chennai
VRL Logistics,3.8,700,Logistics,Bengaluru
North East Small Finance Bank,3.5,700,Banking,Guwahati
Surya Roshni,4.1,699,Building Material,New Delhi
Quislex Legal Services,4.1,700,Legal,Hyderabad
Titan Eye Plus,4.1,700,Other,Kolkata
BrightCHAMPS,4.3,699,EdTech,Bengaluru
ChannelPlay,3.8,698,Marketing & Advertising,Gurugram
Orient Technologies,3.7,698,IT Services & Consulting,Mumbai
Caparo Engineering India,3.9,699,Auto Components,Chennai
Samunnati,4.5,698,NBFC,Chennai
Triveni Engineering & Industries,4.1,697,Food Processing,Noida
CJ Darcl Logistics Limited,4.0,698,Logistics,Gurugram
Medtronic,3.8,698,Medical Equipment,Hyderabad
Sykes Business Services Of India,3.4,696,BPO,Hyderabad
HSBC Bank,3.9,696,Banking,Bengaluru
Teamlease Digital,3.3,696,Recruitment,Bengaluru
HCL Healthcare,4.5,696,Healthcare,Noida
Leverage Edu,4.0,696,EdTech,Noida
Welspun World,3.7,694,Building Material,Anjar
R.S. Infraprojects,4.0,694,Engineering & Construction,Noida
Testbook.com,3.3,695,EdTech,Noida
Neeyamo Enterprise Solutions,3.5,693,Madurai +10 other locations,
MPS Limited,3.5,693,Content Development,Dehradun
Lionbridge Technologies,3.5,693,Content Development,Mumbai
Wissen Infotech,3.5,692,IT Services & Consulting,Bengaluru
Impetus Technologies,3.2,694,IT Services & Consulting,Indore
PCBL Chemical Limited,3.9,692,Petrochemicals,Vadodara
Livpure,3.8,692,Consumer Electronics & Appliances,Gurugram
Wissen Technology,3.8,691,IT Services & Consulting,Bengaluru
Doosan Power Systems,4.3,691,Power,Gurugram
Orient Cement,4.4,691,Building Material,Hyderabad
Solv,3.4,691,Internet,Bengaluru
Vasudha Pharma Chem,4.0,693,Pharma,Visakhapatnam
SMC Global Securities,3.5,691,Financial Services,New Delhi
Cohesity,3.9,690,Software Product,Pune
Kurlon,4.3,689,Furniture & Furnishing,Bengaluru
ANAROCK Property Consultants,3.5,690,Real Estate,Mumbai
Grihum Housing Finance,3.6,689,NBFC,Pune
Bayer Crop Science Vegetable Seeds,4.2,689,Bengaluru +142 other locations,
Narayana e-Techno School,3.6,689,Education & Training,Bengaluru
CSC,3.6,688,Financial Services,Bengaluru
Dhanuka Agritech,3.7,687,Agro Chemicals,Gurugram
Corteva Agriscience,4.3,688,Agro Chemicals,Hyderabad
Embibe,3.4,685,EdTech,Bengaluru
Office Beacon,4.5,684,BPO,Vadodara
Redington,4.0,684,Hardware & Networking,Chennai
EPL Limited,3.8,683,Packaging,Mumbai
Toppr,3.4,682,EdTech,Mumbai
JoulestoWatts Business Solutions,3.4,682,IT Services & Consulting,Bengaluru
Osource Global,3.5,681,BPO,Mumbai
Saint Gobain Glass,3.9,680,Building Material,Chennai
My Home Industries,4.1,681,Building Material,Hyderabad
Belstar Microfinance,3.9,681,NBFC,Chennai
Housing.com,3.5,680,Internet,Gurugram
Ingram Micro,3.6,679,IT Services & Consulting,Mumbai
Licious,3.5,680,Hospitality,Bengaluru
Krsnaa Diagnostics,3.5,681,Healthcare,Pune
Surin Automotive,3.9,680,Industrial Machinery,Pune
Optimum Infosystem,3.2,679,IT Services & Consulting,Chennai
DeHaat,3.6,678,Internet,Gurugram
Indorama,3.9,678,Agro Chemicals,Haldia
Quess IT Staffing Solutions,3.2,678,Bengaluru +56 other locations,
Sigma Engineered Solutions,3.9,678,Industrial Machinery,Pune
TDS Lithium-Ion Battery,4.2,677,Auto Components,Ahmedabad
Sintex BAPL,3.6,676,Petrochemicals,Ahmedabad
DAV Public School,3.9,675,Education & Training,New Delhi
TCI Express,3.9,675,Logistics,Gurugram
Careon Healthcare Solutions,3.9,675,Medical Equipment,Bengaluru
Government of India,4.2,673,Government,New Delhi
Nihilent,3.2,673,IT Services & Consulting,Pune
Snapdeal,3.6,673,Internet,Gurugram
National Stock Exchange of India,3.5,672,Financial Services,Mumbai
Centaur Pharmaceuticals,3.5,672,Pharma,Pune
Carrier,3.7,671,Industrial Machinery,Hyderabad
Finova Capital,3.9,670,NBFC,Jaipur
Avaada Group,4.3,673,Power,Noida
MAQ Software,3.0,670,IT Services & Consulting,Noida
Omaxe,4.2,669,Real Estate,New Delhi
NextComm Corporation,4.8,669,Software Product,Bengaluru
Chaitanya India Fin Credit,4.1,669,NBFC,Bengaluru
BankBazaar,3.3,668,FinTech,Chennai
PeopleStrong,3.3,668,Recruitment,Gurugram
Quality Austria Central Asia,3.5,668,Other,New Delhi
Corporate Infotech,3.7,668,IT Services & Consulting,New Delhi
Tata Power Delhi Distribution,3.8,667,Power,New Delhi
Future Supply Chain Solutions,4.4,666,Logistics,Nagpur
Anudip Foundation,4.0,666,Non-Profit,Kolkata
Marlabs,3.5,665,IT Services & Consulting,Bengaluru
Suroj Buildcon,4.0,668,Engineering & Construction,Pune
Epicenter Technologies,3.4,664,BPO,Mumbai
NiCE,3.6,665,Software Product,Pune
Kutumbh Care,3.9,664,Recruitment,Noida
Inspirisys Solution,3.7,663,IT Services & Consulting,Chennai
Times Group,3.7,663,Printing & Publishing,Mumbai
Collegedunia,3.2,663,Internet,Gurugram
AML RightSource,2.5,664,IT Services & Consulting,New Delhi
Motilal Oswal Wealth Management,4.4,662,Financial Services,Mumbai
Vikram Solar,3.6,662,Power,Kolkata
FCC Clutch,3.9,662,Auto Components,Gurugram
Healthians,4.0,660,Internet,Gurugram
Yatra,3.3,660,Travel & Tourism,Gurugram
L&T Power,4.0,660,Power,Vadodara
3M,3.9,661,Electronics Manufacturing,Bengaluru
Celebi Aviation Holding,4.0,660,Aviation,New Delhi
RealPage,3.5,660,Software Product,Hyderabad
Hetero Healthcare,3.6,661,Pharma,Hyderabad
Qatar Airways,3.5,662,Aviation,Ahmedabad
Fiat India Automobiles,3.6,659,Automobile,Pune
Pennar Industries,3.5,659,Engineering & Construction,Hyderabad
Myk Laticrete,3.7,660,Building Material,Hyderabad
SOLAR INDUSTRIES INDIA,3.7,658,Defence & Aerospace,Nagpur
Kiya.ai,4.0,659,IT Services & Consulting,Mumbai
Kaizen IT Services,3.8,658,IT Services & Consulting,Kolkata
Ramboll,3.9,659,Engineering & Construction,Gurugram
Airports Authority of India,4.3,659,Aviation,New Delhi
Cogoport,3.2,657,Internet,Mumbai
Gainwell Commosales,4.0,656,Industrial Machinery,Kolkata
Monte Carlo,4.2,656,Fashion & Textile,Ahmedabad
TIAA Global Business Services,3.7,655,Financial Services,Pune
Me n Moms,4.1,656,Retail,Mumbai
Alshaya Group,3.7,654,Retail,Bengaluru
Forbes Marshall,3.9,653,Industrial Machinery,Pune
South Indian Bank,3.3,654,Banking,Kochi
Danfoss Industries,3.8,652,Industrial Machinery,Chennai
GKN,3.9,652,Defence & Aerospace,Pune
Blackrock,3.5,653,Financial Services,Gurugram
ICA Edu Skills,3.8,652,Education & Training,Kolkata
Geojit Financial Services,3.3,653,Financial Services,Kochi
Infinity Learn,4.1,654,EdTech,Hyderabad
ACKO,3.3,652,Insurance,Bengaluru
Philips Innovation Campus,3.7,651,Software Product,Bengaluru
TVS Eurogrip,3.6,651,Auto Components,Madurai
Talentpro,3.8,652,Recruitment,Chennai
The Lalit,3.4,650,Hospitality,New Delhi
Ferrero,3.9,650,Food Processing,Pune
Global Healthcare Billing Partners,3.3,651,BPO,Chennai
Sir H. N. Reliance Foundation Hospital and Research,4.3,650,Healthcare,Mumbai
Adani Cement,3.4,649,Building Material,Ahmedabad
Varun Motors,3.7,649,Automobile,Hyderabad
Uno Mindarika,4.0,649,Auto Components,Gurugram
Sapphire Foods India,3.8,648,Hospitality,Mumbai
InsuranceDekho,3.5,648,Internet,Gurugram
B.L. Kashyap & Sons,3.7,648,Engineering & Construction,Bengaluru
UKB Electronics Limited,3.5,649,Electronics Manufacturing,Noida
Ebixcash Global Services,3.2,648,BPO,Mumbai
ExportersIndia,4.9,647,Internet,New Delhi
IDBI Intech Limited,3.2,647,IT Services & Consulting,Mumbai
NoBrokerHood,2.7,647,Software Product,Bengaluru
Avalon Technologies,3.8,648,Electronics Manufacturing,Chennai
Vyapar,3.6,646,Software Product,Bengaluru
NRB Bearings,4.0,646,Auto Components,Chhatrapati Sambhajinagar
Videocon d2h,3.7,647,Internet,New Delhi
Varthana,4.0,647,NBFC,Bengaluru
Schwing Stetter,3.8,647,Industrial Machinery,Chennai
Electrotherm,4.2,646,Iron & Steel,Ahmedabad
Mount Litera Zee School,3.7,644,Education & Training,Bengaluru
Hamilton Housewares,3.8,645,Consumer Electronics & Appliances,Mumbai
Khazana Jewellery,3.9,643,Jewellery,Chennai
Sandvik Asia,4.1,644,Industrial Machinery,Pune
Manjushree Technopack,3.5,643,Bengaluru +35 other locations,
Tecnimont,3.8,643,Engineering & Construction,Mumbai
Data Entry,4.2,644,BPO,New Delhi
Maharashtra Seamless,3.5,643,Building Material,Mumbai
Reliance Jewels,3.9,643,Jewellery,Mumbai
Sasken,3.5,642,IT Services & Consulting,Bengaluru
Serum Institute of India,4.1,642,Biotechnology,Pune
Central Reserve Police Force,4.6,643,Government,New Delhi
Emids Technologies Limited,3.6,643,IT Services & Consulting,Bengaluru
Action Tesa,3.8,643,Building Material,Sitarganj
Kirloskar Ferrous Industries,3.6,644,Iron & Steel,Koppal
NetConnectGlobal,3.1,641,IT Services & Consulting,Bengaluru
Suraksha Diagnostic,3.6,641,Healthcare,Kolkata
Turbo Energy,4.1,640,Auto Components,Chennai
Continental,3.7,641,Auto Components,Bengaluru
Cashify,3.9,638,Internet,Gurugram
Pyramid IT Consulting,3.1,637,IT Services & Consulting,Noida
Sapiens,3.1,639,Software Product,Bengaluru
EaseMyTrip.com,4.0,635,Travel & Tourism,New Delhi
HDFC Asset Management Company,4.1,635,Financial Services,Mumbai
Trigent Software,3.3,634,IT Services & Consulting,Bengaluru
Suma Soft,3.5,634,IT Services & Consulting,Pune
Annalect,3.4,633,Marketing & Advertising,Bengaluru
Varindera Constructions,4.4,633,Engineering & Construction,New Delhi
Einfochips,3.5,633,IT Services & Consulting,Ahmedabad
Shriram Automall,4.0,632,Internet,New Delhi
HashedIn by Deloitte,3.8,632,IT Services & Consulting,Bengaluru
Eli Lilly and Company,3.2,632,Pharma,Bengaluru
Sterling Oil Exploration & Energy Production,3.5,633,Oil & Gas,Lagos
Nucleus Software Exports,3.1,632,Software Product,Noida
Finastra,3.6,631,Software Product,Bengaluru
Kajaria Ceramics,3.8,631,Building Material,New Delhi
Dr. Batras' Positive Health Clinic,3.7,631,Healthcare,Mumbai
Nspira Management Services,3.7,632,Management Consulting,Hyderabad
Medcode,3.7,631,IT Services & Consulting,Hyderabad
Godrej Industries,4.0,630,Real Estate,Mumbai
Sl Lumax,3.5,632,Auto Components,Chennai
Finolex Industries,3.7,630,Building Material,Pune
Royaloak Incorporation,3.6,630,Furniture & Furnishing,Bengaluru
Jubilant Agri and Consumer Products,4.0,629,Chemicals,Gurugram
CSM Technologies,4.0,629,IT Services & Consulting,Bhubaneswar
IRB Infrastructure,3.9,629,Engineering & Construction,Mumbai
Renovision Automation Services,3.3,628,IT Services & Consulting,New Delhi
Crowne Plaza,4.1,628,Hospitality,New Delhi
Fiem Industries,3.7,628,Auto Components,Hosur
Sudarshan Chemical Industries,3.8,628,Chemicals,Roha
Okaya Power,3.8,631,Electronics Manufacturing,New Delhi
Aster Dm Healthcare,3.7,627,Healthcare,Bengaluru
Shivam Autotech,3.5,626,Auto Components,Gurugram
Mrs Bector's Food Specialities,3.8,627,Hospitality,Greater Noida
Super Smelters,3.7,625,Iron & Steel,Asansol
ITC Limited Foods Division,3.9,625,Food Processing,Bengaluru
C5i,4.2,625,Analytics & KPO,Bengaluru
Sintex Industries,3.9,625,Industrial Machinery,Ahmedabad
The Saraswat Co-operative Bank,3.2,626,Banking,Mumbai
Cyfuture,2.9,627,Emerging Technologies,Noida
Heidelberg Cement,4.0,625,Building Material,Damoh
Hpl Electric & Power,3.8,625,Electrical Equipment,Gurugram
Rocket India,4.0,624,Financial Services,Chennai
Mavenir Systems,3.4,623,IT Services & Consulting,Bengaluru
Gestamp,3.7,623,Auto Components,Pune
Family Health Plan,3.7,622,Insurance,Hyderabad
Karvy Stock Broking,3.6,622,Hyderabad +107 other locations,
Becton Dickinson,3.9,622,Medical Equipment,Bengaluru
Toyoda Gosei Minda,4.2,622,Auto Components,Neemrana
BMC Software,3.9,621,Software Product,Pune
FNP,3.7,622,Retail,New Delhi
Bharat Biotech International,3.1,623,Biotechnology,Hyderabad
BT E Serv,3.9,621,BPO,Kolkata
ThoughtWorks,4.0,620,IT Services & Consulting,Bengaluru
Ongc Petro Additions,4.0,620,Petrochemicals,Bharuch
Consulting Engineers Group,4.0,620,Engineering & Construction,Jaipur
Paytm Payments Services,3.2,620,FinTech,Noida
IKEA,4.0,620,Retail,Bengaluru
Pinnacle,3.4,619,IT Services & Consulting,Durgapur
Jayaswal Neco Industries Limited,4.1,618,Iron & Steel,Raipur
AgroStar,4.0,618,Agriculture,Pune
Ofbusiness,3.0,618,Internet,Gurugram
Netmeds.com,3.9,619,Pharma,Chennai
Anmol Industries,3.9,618,FMCG,Kolkata
VDA Infosolutions,3.8,617,IT Services & Consulting,Pune
DHL Global Forwarding,3.8,618,Logistics,Chennai
CSG International,3.4,616,IT Services & Consulting,Bengaluru
HLL Lifecare,3.7,616,Healthcare,Thiruvananthapuram
Jain Irrigation Systems,3.6,615,Agriculture,Jalgaon
Grab A Grub Services,4.0,616,Logistics,Mumbai
BAXY Limited,3.9,616,Auto Components,Bhiwadi
EdgeVerve Systems,3.2,615,Software Product,Bengaluru
Hitachi Systems Micro Clinic,4.0,615,IT Services & Consulting,Mumbai
APL Apollo Tubes,4.1,615,Iron & Steel,Raipur
United Colors of Benetton,4.4,613,Fashion & Textile,Gurugram
Allianz Services,4.0,613,Insurance,Thiruvananthapuram
Royal Caribbean International,4.1,612,Travel & Tourism,Mumbai
Aurionpro Solutions,3.4,612,Software Product,Mumbai
Perficient,3.7,612,IT Services & Consulting,Chennai
Laxmi Organic Industries,3.6,611,Chemicals,Mahad
Hettich,3.6,612,Furniture & Furnishing,Mumbai
Expleo Group,3.5,612,IT Services & Consulting,Pune
Holiday Inn,3.8,611,Hospitality,New Delhi
Lulu International Shopping Mall,3.7,612,Retail,Bengaluru
DealShare,3.5,611,Internet,Bengaluru
Blackberrys,3.7,610,Fashion & Textile,Gurugram
Accion Labs,3.5,611,IT Services & Consulting,Bengaluru
Kauvery Hospital,3.9,610,Healthcare,Chennai
Carnival Cruise Lines,4.1,609,Travel & Tourism,Mumbai
Premier Energies,4.0,609,Electronics Manufacturing,Hyderabad
MothersonSumi INfotech & Designs,3.4,609,IT Services & Consulting,Noida
Vedang Cellular Services,3.8,610,Telecom,Mumbai
Pathkind Diagnostics Private Limited,3.9,608,Healthcare,New Delhi
Jaipur Rugs,4.2,608,Fashion & Textile,Jaipur
Dhani Services,3.6,607,Mumbai +80 other locations,
SIS Prosegur Holdings,3.4,607,Law Enforcement & Security,New Delhi
Iron Mountain Inc,3.7,606,IT Services & Consulting,Bengaluru
Orra Fine Jewellery,3.5,606,Jewellery,Mumbai
Dr. Reddy's Foundation,3.7,605,Non-Profit,Hyderabad
Apitoria Pharma,4.2,605,Pharma,Hyderabad
Inspira Enterprise India Limited,3.6,605,IT Services & Consulting,Mumbai
Ambit Finvest,4.0,604,NBFC,Mumbai
Polaris Consulting,4.2,603,IT Services & Consulting,Hyderabad
QSpiders,3.7,603,Education & Training,Bengaluru
Colt Technology Services,4.2,602,Hardware & Networking,Gurugram
IDP Education Limited,3.6,602,Education & Training,Chennai
NLC India Limited,4.4,601,Metals & Mining,Neyveli
Ascent HR Technologies Private Limited,3.6,602,Software Product,Bengaluru
Vadilal Industries,4.1,600,FMCG,Ahmedabad
Medley Pharmaceuticals,3.8,600,Pharma,Mumbai
Fenesta Building Systems,4.0,601,Building Material,Gurugram
IKF Finance,4.0,600,Financial Services,Hyderabad
ArcelorMittal,4.0,600,Iron & Steel,Surat
Excitel Broadband,3.7,599,Telecom,New Delhi
Bridge & Roof Co,3.4,598,Engineering & Construction,Kolkata
HUDL,3.2,600,Software Product,Mumbai
Cvent,3.2,598,Software Product,Gurugram
Vindhya e-Info Media,4.0,599,BPO,Bengaluru
Coal India,3.9,599,Metals & Mining,Kolkata
Gandhi Automations,3.9,597,Industrial Machinery,Mumbai
PTC,4.2,597,Software Product,Pune
Congruex Asia Pacific,3.7,597,Engineering & Construction,Sahibzada Ajit Singh Nagar
PayU Payments,3.3,597,FinTech,Gurugram
Pamac Finserve,3.1,597,BPO,Mumbai
Country Delight,3.9,596,Hospitality,Gurugram
ShareChat,3.6,595,Internet,Bengaluru
Prochant,3.8,595,Analytics & KPO,Chennai
Saudi Aramco,4.4,595,Oil & Gas,Mumbai
Maharashtra State Electricity Distribution Company,4.2,595,Power,Pune
Magma General Insurance Limited,3.7,595,Insurance,Mumbai
Columbia Asia,4.6,594,Healthcare,Bengaluru
Ugam Solution,3.5,594,IT Services & Consulting,Mumbai
Empower,4.0,594,Financial Services,Bengaluru
Efs Facilities Services,3.8,594,Facility Management Services,New Delhi
SAEL Industries Limited,3.9,595,Power,New Delhi
Sandoz,3.9,594,Pharma,Hyderabad
PureSoftware,2.9,594,Software Product,Noida
Equifax,4.0,595,FinTech,Pune
Crystal Crop Protection,3.8,593,Agro Chemicals,New Delhi
Jindal Poly Films,3.6,592,Packaging,Nashik
Jubilant Generics,4.0,592,Pharma,Roorkee
Capital Numbers Infotech,4.1,591,IT Services & Consulting,Kolkata
MR.DIY,3.4,595,Retail,Mumbai
Kellogg,4.2,591,FMCG,Mumbai
UTL Solar,3.5,591,Electronics Manufacturing,New Delhi
Titan Engineering & Automation,3.8,591,Engineering & Construction,Hosur
Damco Solutions,3.4,591,IT Services & Consulting,Noida
Axiscades,3.1,591,IT Services & Consulting,Bengaluru
AVTEC,3.5,590,Auto Components,Hosur
McCain Foods,4.1,591,FMCG,Mahesana
Matrimonialsindia,4.9,590,Internet,New Delhi
Alcon,3.8,590,Medical Equipment,Bengaluru
Army Public School,4.0,590,Education & Training,New Delhi
Unified Mentor,4.0,589,IT Services & Consulting,Bengaluru
Paramount Health Services Tpa,3.9,590,Insurance,Mumbai
Prestige Group,4.3,589,Real Estate,Bengaluru
BEML,3.6,590,Industrial Machinery,Bengaluru
Vishwa Samudra Engineering,3.6,588,Engineering & Construction,Hyderabad
Voyants Solutions,3.6,588,Engineering & Construction,Gurugram
smartData Enterprises,3.8,587,IT Services & Consulting,Nagpur
Hilton,4.2,587,Hospitality,Bengaluru
Maxop Engineering Co.,4.1,587,Auto Components,Gurugram
J K Fenner,3.8,588,Engineering & Construction,Chennai
Quest Retail Private Limited,3.9,586,Retail,Gurugram
BUSINESSNEXT,3.4,587,Software Product,Noida
Wood Group,3.8,586,Engineering & Construction,Chennai
Genesys International Corporation,3.2,586,IT Services & Consulting,Mumbai
Andritz Hydro Location India,3.9,586,Industrial Machinery,Chennai
NAV Backoffice,3.9,586,Accounting & Auditing,Jaipur
Baker Hughes,4.0,586,Oil & Gas,Bengaluru
Mahendra NextWealth IT,3.3,584,IT Services & Consulting,Salem
Icl Fincorp,4.7,584,NBFC,Thrissur
AM Infoweb,3.9,585,BPO,Pune
Western Refrigeration,3.8,584,Industrial Machinery,Vapi
Dishman Carbogen Amcis,3.6,583,Pharma,Ahmedabad
Datamatics Business Solutions,3.3,583,Management Consulting,Mumbai
AVIOM,4.0,581,NBFC,New Delhi
Lear Corporation,4.0,582,Auto Components,Pune
Applied Materials,3.7,583,Semiconductors,Bengaluru
TSYS|Total System Services,4.1,581,FinTech,Pune
Hitachi Cash Management Services,3.2,582,Other,Mumbai
Toyota Industries Engine India,4.3,582,Auto Components,Bengaluru
GAMMON INDIA,3.8,580,Engineering & Construction,Mumbai
Paras Dairy,3.4,579,Food Processing,New Delhi
Marelli,3.5,580,Auto Components,Gurugram
Transport Corporation Of India,3.8,579,Logistics,Gurugram
Bajaj Consumer Care,3.8,580,FMCG,Mumbai
FiveS Digital,3.3,579,BPO,Jamshedpur
HBL Power Systems,4.0,577,Electrical Equipment,Hyderabad
DB Schenker,4.3,577,Logistics,Gurugram
Kirloskar Pneumatic,4.0,576,Industrial Machinery,Pune
Levi Strauss & Co.,4.2,576,Fashion & Textile,Bengaluru
Carlsberg,3.9,576,Beverage,Gurugram
WayCool Foods and Products,3.4,575,FMCG,Chennai
Amway India Enterprises,4.1,576,Fitness & Wellness,Gurugram
Hitachi Systems,4.0,578,IT Services & Consulting,Mumbai
Harman Finochem,3.6,576,Pharma,Chhatrapati Sambhajinagar
LendingKart,3.6,575,NBFC,Ahmedabad
WPP Media,3.5,575,Marketing & Advertising,Gurugram
Infotact Solutions,4.4,575,IT Services & Consulting,Bengaluru
Larsen & Toubro Group,4.0,574,Engineering & Construction,Chennai
Indecomm Global Services,4.1,574,IT Services & Consulting,Bengaluru
"DATAMARK, Inc.",3.5,574,BPO,Chennai
SoftAge Information Technology,3.6,574,IT Services & Consulting,Gurugram
Navin Fluorine International,3.8,574,Chemicals,Surat
MITS Global Consulting,4.5,574,Recruitment,Mumbai
